,FishID,temp,fifth_perc_MO2_mg_hr,fifth_perc_MO2_mg_hr_kg,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,Chamber,Chamber_pos,sex,pop,Channel,length,mass,mass_kg,wam_date,Weekday,accl_order
187,R1P3P4,28,2.195640488,119.3282874,3.578125507,194.4633428,16,b,F,OCE,8,84,18.4,0.0184,3/27/19,Wednesday,2
2,G1G2G6,28,4.702048865,587.7561082,4.762085496,595.260687,12,b,M,NOC,6,67,8,0.008,4/8/19,Monday,2
7,G1O2R4,28,4.303032725,323.5362951,4.374131199,328.882045,4,b,M,SOC,2,84,13.3,0.0133,4/8/19,Monday,2
39,G2P3O6,28,4.534934347,467.5190049,4.589384431,473.1324156,7,a,F,SOC,4,73,9.7,0.0097,4/8/19,Monday,2
56,G3O4G6,28,2.915772246,435.1898874,2.940364879,438.8604297,3,a,F,SOC,2,62,6.7,0.0067,4/8/19,Monday,2
59,G3R4P6,28,6.648080822,365.279166,7.152366637,392.9871779,13,a,F,SOC,7,92,18.2,0.0182,4/8/19,Monday,2
62,G4R5R6,28,5.065254252,473.3882478,5.984734296,559.3209622,16,b,F,NOC,8,74,10.7,0.0107,4/8/19,Monday,2
81,O1R2G4,28,4.864301158,640.0396261,5.058188098,665.5510655,19,a,F,SOC,10,67,7.6,0.0076,4/8/19,Monday,2
85,O1R2G6,28,3.632582635,305.259045,3.700705323,310.9836406,6,b,F,OCE,3,74,11.9,0.0119,4/8/19,Monday,2
88,O1R2R4,28,5.731693308,444.3173107,5.963318266,462.2727338,15,a,F,SOC,8,76,12.9,0.0129,4/8/19,Monday,2
91,O1R4P5,28,5.388933008,533.5577236,5.703040828,564.6575077,14,b,F,SOC,7,71,10.1,0.0101,4/8/19,Monday,2
97,O2O3G6,28,4.242683337,597.5610334,4.357123426,613.6793558,18,b,M,SOC,9,67,7.1,0.0071,4/8/19,Monday,2
117,O3O4R6,28,6.759268807,549.5340494,6.91947574,562.5590033,8,b,F,OCE,4,82,12.3,0.0123,4/8/19,Monday,2
130,P1G4P6,28,4.575913815,492.0337435,4.737007265,509.3556199,17,a,M,NOC,9,72,9.3,0.0093,4/8/19,Monday,2
151,P2G5G6,28,4.260622382,990.8424144,4.288120847,997.2374063,11,a,M,SOC,6,74,4.3,0.0043,4/8/19,Monday,2
157,P3O4G5,28,3.352324797,817.6401945,3.443070027,839.7731774,20,b,M,NOC,10,52,4.1,0.0041,4/8/19,Monday,2
159,P3O4R6,28,4.900722999,532.6872825,5.126731714,557.2534471,2,b,F,NOC,1,69,9.2,0.0092,4/8/19,Monday,2
170,R1G3O5,28,4.779658377,401.6519644,4.900275287,411.7878393,5,a,F,NOC,3,74,11.9,0.0119,4/8/19,Monday,2
186,R1P3O4,28,5.391375943,411.5554155,5.688240673,434.2168453,9,a,F,SOC,5,79,13.1,0.0131,4/8/19,Monday,2
197,R1R4R6,28,2.688525197,203.6761513,2.980565743,225.800435,1,a,M,SOC,1,82,13.2,0.0132,4/8/19,Monday,2
219,R3O5O6,28,5.041827177,600.2175211,5.07515148,604.1847,10,b,F,NOC,5,67,8.4,0.0084,4/8/19,Monday,2
9,G1O5P6,28,2.981908078,198.7938718,3.040926621,202.7284414,6,b,M,OCE,3,78,15,0.015,5/30/19,Thursday,1
17,G1R3G5,28,3.687844564,358.0431616,3.767923959,365.8178601,19,a,M,SOC,10,72,10.3,0.0103,5/30/19,Thursday,1
